	Value	Asf_L	Asf_H	EoMToOdrB_L	EoMToOdrB_H	EoMToOdrM_L	EoMToOdrM_H	EoMToOdrV_L	EoMToOdrV_H	Owm_L	Owm_H	Prdt_L	Prdt_H	Prit_L	Prit_H	PrwN_L	PrwN_H	POw_L	POw_H	Poces_L	Poces_H	RrHnMT_L	RrHnMT_H	RdHwROom_L	RdHwROom_H	RdROnH_L	RdROnH_H	SoRstprp_L	SoRstprp_H	SoRstRpp_L	SoRstRpp_H	SoRstdpp_L	SoRstdpp_H	SoRstMpd_L	SoRstMpd_H	TtrRss_L	TtrRss_H	TadB_L	TadB_H	TadM_L	TadM_H	TadV_L	TadV_H	TsfBH_L	TsfBH_H	TsfBRO_L	TsfBRO_H	TsfMHr_L	TsfMHr_H	TsfMROr_L	TsfMROr_H	TsrHrtROnH_L	TsrHrtROnH_H	Tsfi_L	Tsfi_H
Heroin availability strength initiating NDHU no Rx	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1.02047e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1.5344e-06	1e-06	1e-06	1e-06	1e-06	1e-06
Heroin availability strength net quit NDHU	1.46412	1.4972	1.45339	1.45666	1.5496	1.94253	1.45942	1.4651	1.52914	1.61382	1.57781	1.45256	1.47013	1.47603	1.46165	1.50099	1.41773	1.25927	1.27503	1.38412	1.74933	1.50448	1.45744	1.36419	1.49564	1.59945	1.49151	1.46513	1.52614	1.76059	1.45972	1.46322	1.46772	1.41554	1.48454	1.48249	1.47822	1.44169	1.44567	1.51621	1.59817	1.47234	1.7951	1.40816	1.456	1.52809	1.5176	1.46379	1.45666	1.4602	1.44469	1.47207	1.46131	1.58314	1.45485
Initial stock correction[RXM]	1.14759	1.15766	1.1925	1.1628	1.16315	1.16159	1.18744	1.18997	1.16054	1.2	1.11846	1.1621	1.19389	1.15486	1.1777	1.15425	1.19369	1.19828	1.16374	1.14877	1.19562	1.15503	1.15033	1.18834	1.16511	1.19263	1.18171	1.17073	1.2	1.19072	1.17986	1.16519	1.18111	1.2	1.17658	1.17862	1.16359	1.16158	1.14768	1.2	1.18798	1.16997	1.2	1.15181	1.19227	1.16313	1.15874	1.16864	1.2	1.16764	1.18707	1.2	1.19498	1.2	1.16028
Initial stock correction[NDH]	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.17916	1.2	1.2	1.2	1.19999	1.2	1.2	1.2	1.2	1.2	0.827114	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.19577	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2
Initial stock correction[OUB]	1.13256	0.903467	1.13256	0.955812	0.916435	0.937803	1.13256	1.13256	0.999286	1.07266	0.990855	1.13255	1.13256	0.903009	1.13256	1.0175	1.13256	1.13256	1.13256	1.13257	1.02492	0.849133	0.915912	1.13256	1.13256	1.13256	1.13257	1.13256	0.850729	1.13256	1.13256	1.13256	1.13257	1.13256	1.13256	1.13256	1.13256	1.13256	1.04766	1.13256	1.13256	1.13258	0.877293	1.0175	1.13256	0.937807	1.09805	1.13258	1.13256	1.13257	1.13256	1.13256	1.13256	1.13256	1.13256
Initial stock correction[OUM]	0.8	0.8	0.85	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.802652	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	1.2	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	1.07731	0.8
Initial stock correction[OUV]	1.06029	0.819931	1.06029	0.920104	0.873938	0.859036	1.06029	1.06029	0.943566	1.19459	1.08633	1.06029	1.06029	1.05245	1.06029	1.12395	1.06029	1.06029	1.06029	1.0603	1.01267	0.934976	0.941106	1.06029	1.06029	1.06029	1.06029	1.06029	1.14451	1.06029	1.0603	1.06029	1.06029	1.06029	1.06029	1.06029	1.06029	1.06029	1.02238	1.06029	1.06029	1.0603	1.02398	1.12396	1.0603	0.85903	1.18704	1.06037	1.0603	1.06029	1.06029	1.06029	1.06029	1.06029	1.06029
Initial stock correction[OUT]	0.984126	0.968447	0.985208	0.967394	1.00631	0.96608	1.00079	0.965564	1.02989	1.08859	0.962506	0.968826	1.00599	1.00011	0.987063	0.990896	0.984353	1.08316	0.976723	0.971931	1.01447	1.00989	0.969372	0.983045	1.00703	0.992349	0.997647	1.03725	1.11384	1.03913	1.00025	0.959641	0.993078	1.02101	0.988271	0.999086	0.98611	0.991148	0.986578	0.982583	1.02435	0.984584	1.1128	0.985103	1.01571	0.991784	0.991155	0.981206	0.998231	0.996668	0.983372	0.984163	0.992666	0.984126	0.984338
Initial stock correction[OUR]	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.810139	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8
Initial stock correction[OUS]	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8
Initial stock correction[OHB]	0.919736	1.15826	0.919736	0.949757	1.13071	0.837773	0.919749	0.919738	0.952466	1.12327	0.916654	0.919736	0.919736	0.906289	0.919739	1.13536	0.919736	0.91974	0.919736	0.919741	0.891723	1.13631	1.15888	0.919736	0.919741	0.919736	0.919736	0.919736	0.970662	0.919736	0.919742	0.919736	0.919736	0.919736	0.919738	0.919736	0.919736	0.919736	1.04576	0.919736	0.919736	0.919741	1.15539	1.13535	0.919746	0.837774	1.00075	0.919757	0.919736	0.920289	0.919736	0.919736	0.919744	0.919736	0.919736
Initial stock correction[OHM]	0.8	0.8	0.803027	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.800481	0.8	0.8	1.2	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	1.19966	0.8	0.8	0.8	0.8	0.8	0.958774	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	1.09348	0.8
Initial stock correction[OHV]	1.05315	0.927005	1.05315	1.0354	1.19032	0.812388	1.05315	1.05316	0.92447	0.938942	1.00589	1.05316	1.05315	0.945556	1.05315	0.992233	1.05315	1.05315	1.05315	1.05315	1.08028	0.996928	1.08021	1.05315	1.05315	1.05317	1.05315	1.05315	0.924148	1.05315	1.05315	1.05315	1.05315	1.05315	1.05316	1.05315	1.05315	1.05315	0.98189	1.05315	1.05315	1.05315	1.0572	0.992244	1.05315	0.812381	0.967646	1.05315	1.05315	1.05315	1.05315	1.05315	1.05315	1.05315	1.05315
Initial stock correction[OHT]	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.05854	1.2	1.2	1.2	1.2	1.2	1.2	1.12405	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.19992	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2
Initial stock correction[OHR]	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8
Initial stock correction[OHS]	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.800001	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8
Initial stock correction[HUB]	0.948642	0.989005	0.948642	1.03108	1.00626	1.14554	0.948643	0.948642	1.003	0.90952	0.94021	0.948643	0.948649	1.06319	0.948644	0.933003	0.948642	0.948642	0.948645	0.948645	0.873328	1.10288	0.924784	0.948642	0.948642	0.948642	0.948642	0.948642	1.05577	0.948645	0.948643	0.948642	0.948644	0.948642	0.948648	0.948652	0.948642	0.948642	0.819558	0.948642	0.948642	0.948642	1.08326	0.932996	0.948658	1.14554	1.19514	0.948648	0.948642	0.948644	0.948642	0.948661	0.948642	0.948642	0.948642
Initial stock correction[HUM]	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.19999	1.2	1.2	1.2	1.2	1.2	1.19697	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2
Initial stock correction[HUV]	1.09595	1.2	1.09595	0.989328	0.805477	1.04694	1.09595	1.09595	0.851321	0.931582	1.0636	1.09597	1.09595	1.0935	1.09595	0.941284	1.09595	1.09595	1.09595	1.09597	0.933501	0.958507	1.12024	1.09595	1.09595	1.09595	1.09595	1.09595	0.828236	1.09595	1.09595	1.09595	1.09595	1.09595	1.09595	1.09595	1.09595	1.09595	1.18032	1.09596	1.09595	1.09595	1.19713	0.941286	1.09595	1.04696	0.934234	1.09597	1.09595	1.09597	1.09595	1.09595	1.09595	1.09595	1.09595
Initial stock correction[HUT]	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.800001	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8
Initial stock correction[HUR]	1.2	1.2	1.2	1.2	1.2	0.8	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.1939	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.1994	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	0.869471	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2
Initial stock correction[HUS]	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2
Initiating heroin no Rx base	119578.0	119854.0	119804.0	119646.0	119661.0	118273.0	120375.0	119586.0	120250.0	119559.0	120987.0	119653.0	118329.0	119556.0	125182.0	119330.0	121246.0	118165.0	120591.0	119779.0	118536.0	119828.0	119732.0	121150.0	119541.0	119867.0	119725.0	119578.0	114890.0	120226.0	119749.0	118704.0	119801.0	119865.0	119551.0	120136.0	119990.0	119755.0	119933.0	117474.0	120409.0	119466.0	117862.0	119354.0	119880.0	119918.0	119681.0	119401.0	119689.0	119366.0	120063.0	117170.0	119916.0	119922.0	119662.0
Initiating Rx misuse diverted base	1879840.0	1873720.0	1876870.0	1848190.0	1893700.0	2070690.0	1892720.0	1880340.0	1923990.0	1891030.0	1913560.0	1873900.0	1897520.0	1891990.0	1857050.0	1906610.0	1973840.0	1865530.0	1913830.0	1869200.0	2015760.0	1923190.0	1873130.0	1958900.0	1886290.0	1891440.0	1895590.0	1899230.0	2166310.0	1883890.0	1856370.0	1927900.0	1884570.0	1879840.0	1906100.0	1913390.0	1890300.0	1908140.0	1872880.0	1916870.0	1955950.0	1877840.0	2035130.0	1902010.0	1897890.0	1866180.0	1875900.0	1847360.0	1858620.0	1875160.0	1929840.0	1892590.0	1916570.0	1887910.0	1890690.0
Initiation rate heroin with Rx misuse	0.0133614	0.0133521	0.0133641	0.0133535	0.0136391	0.0141285	0.0131797	0.0130128	0.0132079	0.0142885	0.0127616	0.0132756	0.0137874	0.0135413	0.0134824	0.0133339	0.0132395	0.013339	0.0133109	0.0130517	0.0136928	0.0134951	0.0133041	0.0138154	0.0135195	0.0133252	0.013445	0.0140004	0.0136934	0.0137443	0.0133198	0.0135938	0.0134002	0.0133476	0.0134519	0.0133432	0.0133862	0.013347	0.0131697	0.0131854	0.0133561	0.0134082	0.0147299	0.0133289	0.0133641	0.0133214	0.0134782	0.0133928	0.0138234	0.013315	0.013403	0.014341	0.0132347	0.0136666	0.013372
Initiation rate heroin with Rx OUD relative to Rx misuse	4.26793	4.32429	4.29738	4.28834	4.15764	4.35606	4.28228	4.33938	4.49536	3.97682	4.14185	4.36951	4.20473	4.24342	4.29574	4.30616	4.25924	4.23894	4.38717	4.40342	3.2817	4.20772	4.30357	4.35475	4.28287	4.49176	4.37299	4.26793	4.82041	4.26681	4.34911	4.18765	4.27783	4.26793	4.24112	4.32459	4.2659	4.19592	4.35795	4.34983	4.25257	4.28066	3.54259	4.2732	4.44233	4.34794	4.23256	4.30746	4.25501	4.32044	4.31704	4.14837	4.38145	4.26793	4.30132
Initiation rate Rx misuse own Rx	0.0346416	0.0352294	0.0342259	0.0349946	0.0348834	0.0374409	0.0364983	0.0354696	0.0350945	0.0355564	0.035038	0.0353672	0.0334743	0.0350223	0.0358068	0.0346772	0.0368223	0.0355868	0.034869	0.0353006	0.0346392	0.0348442	0.0349139	0.0350245	0.034631	0.0357878	0.0352264	0.0369487	0.0363182	0.0348705	0.0349817	0.0353771	0.0351954	0.0360002	0.0355563	0.0360681	0.034737	0.0343546	0.0348855	0.03438	0.0350031	0.0347973	0.0349499	0.0348755	0.0346909	0.0351329	0.0351208	0.0349319	0.0359711	0.0353561	0.0366697	0.0346252	0.035392	0.0353282	0.0351317
Net quit rate heroin with Rx misuse	0.0923572	0.0968776	0.0948971	0.091932	0.102604	0.140563	0.0897634	0.0877397	0.0987502	0.108117	0.108141	0.0914795	0.0935903	0.0947027	0.0952996	0.0970446	0.0974277	0.0915401	0.0799268	0.0820714	0.111547	0.0970179	0.0922003	0.10647	0.0953823	0.111539	0.0947985	0.0923572	0.0864494	0.127531	0.0916798	0.0978239	0.0942001	0.0923572	0.0952681	0.0930502	0.094647	0.0917463	0.0902586	0.0950021	0.103444	0.0929255	0.126659	0.086381	0.095191	0.0993417	0.0992146	0.0929032	0.0958668	0.0912567	0.0913764	0.101354	0.0896492	0.0988058	0.0908974
Net quit rate heroin with Rx OUD	0.102272	0.100766	0.111605	0.101079	0.0973548	0.0566416	0.0897093	0.0886014	0.109604	0.0871972	0.0611408	0.103971	0.0997084	0.101423	0.115923	0.101718	0.104538	0.0971663	0.100447	0.102746	0.0793993	0.102294	0.100877	0.146311	0.109055	0.118636	0.113869	0.102272	0.16334	0.113495	0.111127	0.0761246	0.0972872	0.102272	0.094336	0.104566	0.103457	0.0989441	0.102751	0.101157	0.100984	0.102411	0.0359081	0.103842	0.107164	0.103131	0.101346	0.105034	0.119815	0.101984	0.10027	0.145606	0.117636	0.102272	0.103485
Net quit rate NDHU	0.5	0.5	0.499864	0.5	0.5	0.5	0.499999	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.487731	0.499989	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.491817	0.5	0.5	0.5	0.5	0.49999	0.5	0.5	0.5	0.5	0.5	0.499999	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.498288	0.499989	0.5	0.5	0.5
Net quit rate Rx misuse	0.14317	0.14592	0.153345	0.145904	0.150835	0.167761	0.165599	0.154375	0.152246	0.180739	0.12857	0.148515	0.161883	0.147096	0.14883	0.146778	0.155053	0.159796	0.158836	0.143315	0.173904	0.148069	0.142701	0.159445	0.150053	0.157268	0.160132	0.176003	0.195899	0.15726	0.153452	0.163411	0.156616	0.175198	0.15436	0.158329	0.149374	0.147829	0.142337	0.153843	0.16354	0.149803	0.174935	0.146528	0.160408	0.14877	0.148257	0.148095	0.161721	0.150656	0.16728	0.164429	0.159964	0.174505	0.149072
NSDUH misuse redefinition fixed effect	0.440093	0.441504	0.460644	0.438399	0.442283	0.433304	0.430081	0.434668	0.449663	0.425028	0.453723	0.4395	0.43047	0.43701	0.442287	0.439532	0.448573	0.438133	0.440199	0.442594	0.428319	0.436372	0.439908	0.440508	0.442285	0.444149	0.433731	0.38	0.459491	0.442947	0.436725	0.421815	0.439142	0.44	0.438322	0.440487	0.435826	0.437296	0.445362	0.446477	0.435326	0.437517	0.427249	0.436511	0.445629	0.44259	0.441251	0.437141	0.444431	0.443698	0.431484	0.440841	0.448278	0.439718	0.443283
Nx kit distribution efficiency	0.00034343	0.000345124	0.000348776	0.000343198	0.000342055	0.000340898	0.000336505	0.000339271	0.000343307	0.000351537	0.000340549	0.000342812	0.000340285	0.000342107	0.000342474	0.000340883	0.000340879	0.000342385	0.000340607	0.000340106	0.000341444	0.00034415	0.00034275	0.000339595	0.000342998	0.000342115	0.000339926	0.00034343	0.000340349	0.000340378	0.000345609	0.000340055	0.000340139	0.000348519	0.000341679	0.00033987	0.000340172	0.000343949	0.000341014	0.000339342	0.000339945	0.000341191	0.000335076	0.000343151	0.000343182	0.000340359	0.000341511	0.000343253	0.00034209	0.00034053	0.0003391	0.000342404	0.000341041	0.000342446	0.000342808
Overdose rate base HUD	0.16737	0.177004	0.132792	0.167055	0.15951	0.066549	0.147654	0.139318	0.144555	0.142344	0.130341	0.164703	0.141807	0.158516	0.151512	0.145385	0.127719	0.150948	0.145751	0.144725	0.0917368	0.172432	0.162352	0.149181	0.151585	0.146851	0.134796	0.133948	0.199336	0.131595	0.178467	0.139851	0.145672	0.134569	0.148904	0.133749	0.138096	0.163503	0.148977	0.126049	0.132597	0.150023	0.0646712	0.163434	0.146105	0.150497	0.147764	0.164891	0.150439	0.145406	0.135507	0.13201	0.14724	0.157651	0.15809
Overdose rate NDHU relative to HUD	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.918366	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.307977	0.250002	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.250016	0.25	0.25	0.25
Overdose rate base Rx misuse	0.001	0.001	0.00430013	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.00148761	0.00168028	0.001	0.001	0.001	0.001	0.001	0.00329983	0.001	0.00100305	0.001	0.00777599	0.001	0.001	0.001	0.001	0.001	0.01	0.001	0.001	0.001	0.001	0.001	0.001	0.00100004	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.00630174	0.001
Overdose rate base Rx OUD	0.251252	0.246408	0.237908	0.253465	0.250282	0.178539	0.248204	0.247692	0.228722	0.160237	0.225728	0.25768	0.25284	0.252861	0.249578	0.256741	0.248243	0.258611	0.259779	0.261899	0.18769	0.244829	0.252841	0.246996	0.235249	0.252609	0.247176	0.251252	0.314996	0.245406	0.245308	0.253256	0.260362	0.232653	0.246833	0.256428	0.25097	0.248682	0.256384	0.249894	0.242038	0.254138	0.146694	0.251664	0.247851	0.259682	0.251172	0.253157	0.250386	0.254831	0.260237	0.248495	0.249827	0.21482	0.245281
